id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,series_category_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-M-DC-1999-G2-AO-REL-SRI-KAZ-01,"Group II, Asia/Oceania, Relegation Play-off",1999,M-DC-1999-G2-AO-REL-SRI-KAZ-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-REL-SRI-KAZ-01,,Almaty,,,Indoor,Hard,dc,dc,19990402,19990404,,,,,KAZ
1999-M-DC-1999-WG-M-AUS-ZIM-01,World Group,1999,M-DC-1999-WG-M-AUS-ZIM-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-AUS-ZIM-01,,Harare,,,Indoor,Hard,dc,dc,19990402,19990404,,,,,ZIM
1999-M-DC-1999-WG-M-BEL-CZE-01,World Group,1999,M-DC-1999-WG-M-BEL-CZE-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-BEL-CZE-01,,Ghent,,,Indoor,Clay,dc,dc,19990402,19990404,,,,,BEL
1999-M-DC-1999-WG-M-BRA-ESP-01,World Group,1999,M-DC-1999-WG-M-BRA-ESP-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-BRA-ESP-01,,Lerida,,,Outdoor,Clay,dc,dc,19990402,19990404,,,,,ESP
1999-M-DC-1999-WG-M-GER-RUS-01,World Group,1999,M-DC-1999-WG-M-GER-RUS-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-GER-RUS-01,,Frankfurt,,,Indoor,Carpet,dc,dc,19990402,19990404,,,,,GER
1999-M-DC-1999-WG-M-NED-FRA-01,World Group,1999,M-DC-1999-WG-M-NED-FRA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-NED-FRA-01,,Nimes,,,Indoor,Clay,dc,dc,19990402,19990404,,,,,FRA
1999-M-DC-1999-WG-M-SUI-ITA-01,World Group,1999,M-DC-1999-WG-M-SUI-ITA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-SUI-ITA-01,,Neuchatel,,,Indoor,Carpet,dc,dc,19990402,19990404,,,,,SUI
1999-M-DC-1999-WG-M-SWE-SVK-01,World Group,1999,M-DC-1999-WG-M-SWE-SVK-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-SWE-SVK-01,,Trollhattan,,,Indoor,Carpet,dc,dc,19990402,19990404,,,,,SWE
1999-M-DC-1999-WG-M-USA-GBR-01,World Group,1999,M-DC-1999-WG-M-USA-GBR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-WG-M-USA-GBR-01,,Birmingham,,,Indoor,Hard,dc,dc,19990402,19990404,,,,,GBR
1999-M-DC-1999-G2-AO-M-IRI-THA-01,"Group II, Asia/Oceania",1999,M-DC-1999-G2-AO-M-IRI-THA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-M-IRI-THA-01,,Teheran,,,Outdoor,Clay,dc,dc,19990416,19990418,,,,,IRI
