id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-409,Atlanta,1999,409,http://www.atpworldtour.com/en/scores/archive/atlanta/409/1999/results,atlanta,Atlanta,http://www.atpworldtour.com/en/scores/archive/atlanta/409/1999/draws,http://www.protennislive.com/posting/1999/409/mds.pdf,Outdoor,Clay,atp,19990426,,32,32,350000,$,USA
1999-641,Espinho,1999,641,http://www.atpworldtour.com/en/scores/archive/espinho/641/1999/results,espinho,Espinho,http://www.atpworldtour.com/en/scores/archive/espinho/641/1999/draws,http://www.protennislive.com/posting/1999/641/mds.pdf,Outdoor,Clay,ch,19990426,,32,32,125000,$,POR
1999-414,ATP Masters 1000 Hamburg,1999,414,http://www.atpworldtour.com/en/scores/archive/hamburg/414/1999/results,hamburg,Hamburg,http://www.atpworldtour.com/en/scores/archive/hamburg/414/1999/draws,http://www.protennislive.com/posting/1999/414/mds.pdf,Outdoor,Clay,1000,19990503,,56,56,2450000,$,GER
1999-499,Delray Beach,1999,499,http://www.atpworldtour.com/en/scores/archive/delray-beach/499/1999/results,delray-beach,Delray Beach,http://www.atpworldtour.com/en/scores/archive/delray-beach/499/1999/draws,http://www.protennislive.com/posting/1999/499/mds.pdf,Outdoor,Clay,atp,19990503,,32,32,270000,$,USA
1999-754,Ljubljana,1999,754,http://www.atpworldtour.com/en/scores/archive/ljubljana/754/1999/results,ljubljana,Ljubljana,http://www.atpworldtour.com/en/scores/archive/ljubljana/754/1999/draws,http://www.protennislive.com/posting/1999/754/mds.pdf,Outdoor,Clay,ch,19990503,,32,32,125000,$,SLO
1999-216,Jerusalem,1999,216,http://www.atpworldtour.com/en/scores/archive/jerusalem/216/1999/results,jerusalem,Jerusalem,http://www.atpworldtour.com/en/scores/archive/jerusalem/216/1999/draws,http://www.protennislive.com/posting/1999/216/mds.pdf,Outdoor,Hard,ch,19990510,,32,32,50000,$,ISR
1999-350,Birmingham,1999,350,http://www.atpworldtour.com/en/scores/archive/birmingham/350/1999/results,birmingham,Birmingham,http://www.atpworldtour.com/en/scores/archive/birmingham/350/1999/draws,http://www.protennislive.com/posting/1999/350/mds.pdf,Outdoor,Clay,ch,19990510,,32,32,50000,$,GBR
1999-416,ATP Masters 1000 Rome,1999,416,http://www.atpworldtour.com/en/scores/archive/rome/416/1999/results,rome,Rome,http://www.atpworldtour.com/en/scores/archive/rome/416/1999/draws,http://www.protennislive.com/posting/1999/416/mds.pdf,Outdoor,Clay,1000,19990510,,64,64,2450000,$,ITA
1999-615,World Team Cup,1999,615,http://www.atpworldtour.com/en/scores/archive/dusseldorf/615/1999/results,dusseldorf,Dusseldorf,http://www.atpworldtour.com/en/scores/archive/dusseldorf/615/1999/draws,http://www.protennislive.com/posting/1999/615/mds.pdf,Outdoor,Clay,atp,19990516,,64,64,1650000,$,GER
1999-306,St. Poelten,1999,306,http://www.atpworldtour.com/en/scores/archive/st-poelten/306/1999/results,st-poelten,St. Poelten,http://www.atpworldtour.com/en/scores/archive/st-poelten/306/1999/draws,http://www.protennislive.com/posting/1999/306/mds.pdf,Outdoor,Clay,atp,19990517,,32,32,425000,$,AUT
1999-520,Roland Garros,1999,520,http://www.atpworldtour.com/en/scores/archive/roland-garros/520/1999/results,roland-garros,Paris,http://www.atpworldtour.com/en/scores/archive/roland-garros/520/1999/draws,http://www.protennislive.com/posting/1999/520/mds.pdf,Outdoor,Clay,gs,19990524,,128,128,5159915,$,FRA
1999-550,Sofia,1999,550,http://www.atpworldtour.com/en/scores/archive/sofia/550/1999/results,sofia,Sofia,http://www.atpworldtour.com/en/scores/archive/sofia/550/1999/draws,http://www.protennislive.com/posting/1999/550/mds.pdf,Outdoor,Clay,ch,19990524,,32,32,25000,$,BUL
1999-396,Furth,1999,396,http://www.atpworldtour.com/en/scores/archive/furth/396/1999/results,furth,Furth,http://www.atpworldtour.com/en/scores/archive/furth/396/1999/draws,http://www.protennislive.com/posting/1999/396/mds.pdf,Outdoor,Clay,ch,19990531,,32,32,50000,$,GER
1999-558,Prostejov,1999,558,http://www.atpworldtour.com/en/scores/archive/prostejov/558/1999/results,prostejov,Prostejov,http://www.atpworldtour.com/en/scores/archive/prostejov/558/1999/draws,http://www.protennislive.com/posting/1999/558/mds.pdf,Outdoor,Clay,ch,19990531,,32,32,125000,$,CZE
1999-720,Surbiton,1999,720,http://www.atpworldtour.com/en/scores/archive/surbiton/720/1999/results,surbiton,Surbiton,http://www.atpworldtour.com/en/scores/archive/surbiton/720/1999/draws,http://www.protennislive.com/posting/1999/720/mds.pdf,Outdoor,Grass,ch,19990531,,32,32,50000,$,GBR
1999-311,London / Queen's Club,1999,311,http://www.atpworldtour.com/en/scores/archive/london/311/1999/results,london,London,http://www.atpworldtour.com/en/scores/archive/london/311/1999/draws,http://www.protennislive.com/posting/1999/311/mds.pdf,Outdoor,Grass,atp,19990607,,56,56,750000,$,GBR
1999-473,Merano,1999,473,http://www.atpworldtour.com/en/scores/archive/merano/473/1999/results,merano,Merano,http://www.atpworldtour.com/en/scores/archive/merano/473/1999/draws,http://www.protennislive.com/posting/1999/473/mds.pdf,Outdoor,Clay,atp,19990607,,32,32,350000,$,ITA
1999-500,Halle,1999,500,http://www.atpworldtour.com/en/scores/archive/halle/500/1999/results,halle,Halle,http://www.atpworldtour.com/en/scores/archive/halle/500/1999/draws,http://www.protennislive.com/posting/1999/500/mds.pdf,Outdoor,Grass,atp,19990607,,32,32,900000,$,GER
1999-524,Weiden,1999,524,http://www.atpworldtour.com/en/scores/archive/weiden/524/1999/results,weiden,Weiden,http://www.atpworldtour.com/en/scores/archive/weiden/524/1999/draws,http://www.protennislive.com/posting/1999/524/mds.pdf,Outdoor,Clay,ch,19990607,,32,32,75000,$,GER
1999-699,Maia,1999,699,http://www.atpworldtour.com/en/scores/archive/maia/699/1999/results,maia,Maia,http://www.atpworldtour.com/en/scores/archive/maia/699/1999/draws,http://www.protennislive.com/posting/1999/699/mds.pdf,Outdoor,Clay,ch,19990607,,32,32,125000,$,POR
1999-440,'s-Hertogenbosch,1999,440,http://www.atpworldtour.com/en/scores/archive/s-hertogenbosch/440/1999/results,s-hertogenbosch,s-Hertogenbosch,http://www.atpworldtour.com/en/scores/archive/s-hertogenbosch/440/1999/draws,http://www.protennislive.com/posting/1999/440/mds.pdf,Outdoor,Grass,atp,19990614,,32,32,500000,$,NED
1999-526,Braunschweig,1999,526,http://www.atpworldtour.com/en/scores/archive/braunschweig/526/1999/results,braunschweig,Braunschweig,http://www.atpworldtour.com/en/scores/archive/braunschweig/526/1999/draws,http://www.protennislive.com/posting/1999/526/mds.pdf,Outdoor,Clay,ch,19990614,,32,32,125000,$,GER
1999-588,Zagreb,1999,588,http://www.atpworldtour.com/en/scores/archive/zagreb/588/1999/results,zagreb,Zagreb,http://www.atpworldtour.com/en/scores/archive/zagreb/588/1999/draws,http://www.protennislive.com/posting/1999/588/mds.pdf,Outdoor,Clay,ch,19990614,,32,32,50000,$,CRO
1999-741,Nottingham,1999,741,http://www.atpworldtour.com/en/scores/archive/nottingham/741/1999/results,nottingham,Nottingham,http://www.atpworldtour.com/en/scores/archive/nottingham/741/1999/draws,http://www.protennislive.com/posting/1999/741/mds.pdf,Outdoor,Grass,atp,19990614,,32,32,350000,$,GBR
1999-400,Biella,1999,400,http://www.atpworldtour.com/en/scores/archive/biella/400/1999/results,biella,Biella,http://www.atpworldtour.com/en/scores/archive/biella/400/1999/draws,http://www.protennislive.com/posting/1999/400/mds.pdf,Outdoor,Clay,ch,19990621,,32,32,25000,$,ITA
1999-540,Wimbledon,1999,540,http://www.atpworldtour.com/en/scores/archive/wimbledon/540/1999/results,wimbledon,London,http://www.atpworldtour.com/en/scores/archive/wimbledon/540/1999/draws,http://www.protennislive.com/posting/1999/540/mds.pdf,Outdoor,Grass,gs,19990621,,128,128,5614685,$,GBR
1999-600,Prague,1999,600,http://www.atpworldtour.com/en/scores/archive/prague/600/1999/results,prague,Prague,http://www.atpworldtour.com/en/scores/archive/prague/600/1999/draws,http://www.protennislive.com/posting/1999/600/mds.pdf,Outdoor,Clay,ch,19990621,,32,32,25000,$,CZE
1999-684,Eisenach,1999,684,http://www.atpworldtour.com/en/scores/archive/eisenach/684/1999/results,eisenach,Eisenach,http://www.atpworldtour.com/en/scores/archive/eisenach/684/1999/draws,http://www.protennislive.com/posting/1999/684/mds.pdf,Outdoor,Clay,ch,19990621,,32,32,25000,$,GER
